PROBLEM SETS,LQ 1,LQ 2,LQ 3,LQ AVE,E1,E2,E3,E AVE,FINAL EXAM,ABSENCES,
60.269,27,24,29,66.667,32,31,33,48.025,67.500,1,
95.314,30,30,34,78.333,41,66,66,83.777,87.500,0,
89.315,38,33,35,88.333,43,74,57,84.037,92.500,4,
95.301,36,37,33,88.333,51,72,60,89.481,97.500,2,
62.093,15,24,28,55.833,29,50,58,66.028,67.500,5,
83.599,24,27,27,65.000,45,67,50,78.999,70.000,4,
81.534,29,26,29,70.000,39,54,52,70.898,67.500,0,
71.878,16,23,22,50.833,37,54,46,66.829,37.500,6,
59.507,21,27,26,61.667,45,47,41,66.380,52.500,0,
85.684,21,23,26,58.333,35,50,54,67.760,52.500,1,
92.391,30,29,30,74.167,43,69,54,80.525,82.500,2,
32.396,17,19,25,50.833,29,42,52,59.838,45.000,3,
64.242,19,24,29,60.000,33,36,54,60.714,42.500,4,
78.174,19,33,29,67.500,38,51,55,72.485,65.000,1,
84.698,25,28,31,70.000,35,55,57,73.360,52.500,0,
89.043,26,24,20,58.333,37,48,43,64.476,52.500,3,
0.000,0,0,0,0.000,0,0,0,0.000,0.000,18,
90.626,26,27,24,64.167,40,53,27,60.172,65.000,4,
76.004,27,21,29,64.167,43,54,53,75.740,57.500,4,
83.950,23,22,25,58.333,45,54,31,65.670,32.500,2,
68.913,27,28,28,69.167,41,58,41,70.041,45.000,2,
31.088,20,26,25,59.167,43,48,53,73.240,52.500,18,
75.086,26,24,33,69.167,0,52,38,41.154,42.500,5,
95.971,28,28,32,73.333,43,74,57,86.125,77.500,0,
93.605,24,33,37,78.333,49,66,53,84.376,60.000,1,
74.800,31,25,30,71.667,45,100,45,79.004,65.000,1,
95.180,23,27,26,63.333,43,96,54,80.866,60.000,0,
47.516,28,18,31,64.167,47,99,40,77.532,55.000,5,
94.889,28,30,21,65.833,49,93,43,78.355,57.500,1,
60.915,25,27,25,64.167,39,86,53,74.935,60.000,6,
87.758,25,16,23,53.333,25,97,32,59.784,47.500,2,
67.841,21,30,31,68.333,32,75,35,58.788,45.000,2,
84.785,28,27,30,70.833,43,94,47,76.926,55.000,4,
58.167,16,28,26,58.333,41,60,41,62.554,50.000,3,
48.737,14,25,28,55.833,43,69,47,69.351,42.500,7,
90.691,32,33,33,81.667,49,106,62,91.342,80.000,0,
59.555,27,27,28,68.333,50,67,46,69.986,62.500,1,
88.939,33,34,30,80.833,41,94,62,80.786,82.500,1,
96.767,27,27,35,74.167,44,100,62,84.271,62.500,0,
79.021,16,21,29,55.000,31,78,40,59.906,57.500,4,
77.938,27,28,31,71.667,48,96,51,80.043,55.000,1,
93.422,36,32,34,85.000,56,106,60,91.804,75.000,1,
72.825,31,34,34,82.500,54,104,46,83.420,60.000,6,
94.010,31,28,33,76.667,54,102,58,88.528,77.500,2,
80.303,24,11,32,55.833,50,63,47,69.250,57.500,6,
90.921,30,33,34,80.833,56,98,60,89.380,70.000,0,
52.230,30,28,32,75.000,50,90,40,74.098,60.000,2,
73.059,25,26,30,67.500,42,81,44,68.831,52.500,5,
66.128,20,28,30,65.000,43,79,38,68.455,42.500,2,
66.856,29,30,35,78.333,50,89,56,84.750,80.000,1,
94.463,24,26,29,65.833,41,81,49,73.620,57.500,5,
80.225,23,28,28,65.833,58,85,33,76.129,65.000,2,
98.021,27,32,34,77.500,54,97,61,92.076,77.500,0,
90.794,29,35,28,76.667,54,90,31,74.469,50.000,1,
94.936,33,36,39,90.000,58,94,59,92.320,85.000,0,
87.540,22,26,30,65.000,52,74,52,79.048,75.000,1,
71.449,25,24,18,55.833,41,79,39,67.857,45.000,3,
94.863,19,26,28,60.833,54,74,49,78.620,52.500,0,
70.196,21,28,24,60.833,48,64,42,68.523,42.500,2,
83.635,25,31,26,68.333,37,70,37,61.752,62.500,0,
94.852,24,28,31,69.167,44,97,57,84.469,72.500,0,
